# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed Apr  3 18:15:55 CEST 2019
# isochrones based on PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00015542 7.699 0.3904217184 2.1050963402    0.390 -1.326  3.6516  4.914    0  0.000  0.545     0.00     0.00 -1 -3.34e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 8.086 10.418 8.989 8.129 7.817 7.659 7.604
0.00015542 7.699 0.4016241133 2.1207342148    0.402 -1.301  3.6540  4.911    0  0.000  0.545     0.00     0.00 -1 -3.51e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 8.023 10.317 8.905 8.059 7.753 7.598 7.544
0.00015542 7.699 0.4295102358 2.1573154926    0.429 -1.227  3.6627  4.900    0  0.000  0.545     0.00     0.00 -1 -4.06e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 7.836 9.998 8.656 7.854 7.566 7.424 7.375
0.00015542 7.699 0.4512992799 2.1838140488    0.451 -1.168  3.6691  4.888    0  0.000  0.545     0.00     0.00 -1 -4.59e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 7.689 9.754 8.463 7.694 7.419 7.286 7.240
0.00015542 7.699 0.5009744763 2.2384564877    0.501 -1.018  3.6865  4.854    0  0.000  0.545     0.00     0.00 -1 -6.42e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 7.315 9.121 7.975 7.291 7.051 6.940 6.904
0.00015542 7.699 0.5063415170 2.2438974380    0.506 -0.999  3.6890  4.850    0  0.000  0.545     0.00     0.00 -1 -6.69e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.198e-05 -1.000 1.636e-04 7.269 9.039 7.914 7.242 7.007 6.898 6.863
0.00015542 7.699 0.5506497025 2.2841954231    0.550 -0.869  3.7056  4.822    0  0.000  0.545     0.00     0.00 -1 -8.95e-15      0.00 7.508e-01 2.490e-01 2.941e-05 7.935e-06 7.196e-05 -1.000 1.636e-04 6.943 8.488 7.500 6.901 6.697 6.608 6.582
0.00015542 7.699 0.5618774295 2.2932534218    0.562 -0.840  3.7101  4.820    0  0.000  0.545     0.00     0.00 -1 -9.51e-15      0.00 7.508e-01 2.490e-01 2.941e-05 7.935e-06 7.196e-05 -1.000 1.636e-04 6.871 8.358 7.406 6.826 6.630 6.547 6.523
0.00015542 7.699 0.5813277364 2.3079969883    0.581 -0.802  3.7153  4.817    0  0.000  0.545     0.00     0.00 -1 -1.03e-14      0.00 7.509e-01 2.490e-01 2.941e-05 7.934e-06 7.196e-05 -1.000 1.637e-04 6.774 8.200 7.287 6.729 6.541 6.463 6.442
0.00015542 7.699 0.6003248692 2.3213415146    0.600 -0.763  3.7196  4.810    0  0.000  0.545     0.00     0.00 -1 -1.11e-14      0.00 7.509e-01 2.489e-01 2.941e-05 7.934e-06 7.196e-05 -1.000 1.637e-04 6.678 8.051 7.171 6.631 6.451 6.378 6.359
0.00015542 7.699 0.6222282648 2.3355703354    0.622 -0.716  3.7255  4.802    0  0.000  0.545     0.00     0.00 -1 -1.23e-14      0.00 7.509e-01 2.489e-01 2.940e-05 7.933e-06 7.195e-05 -1.000 1.636e-04 6.559 7.865 7.028 6.512 6.341 6.275 6.259
0.00015542 7.699 0.6290385723 2.3397629261    0.629 -0.697  3.7278  4.797    0  0.000  0.545     0.00     0.00 -1 -1.28e-14      0.00 7.509e-01 2.489e-01 2.940e-05 7.933e-06 7.195e-05 -1.000 1.636e-04 6.512 7.794 6.973 6.466 6.299 6.236 6.220
0.00015542 7.699 0.6499999762 2.3520355225    0.650 -0.631  3.7363  4.779    0  0.000  0.545     0.00     0.00 -1 -1.49e-14      0.00 7.509e-01 2.489e-01 2.940e-05 7.932e-06 7.194e-05 -1.000 1.637e-04 6.346 7.538 6.775 6.303 6.150 6.096 6.084
0.00015542 7.699 0.6588747501 2.3569617271    0.659 -0.602  3.7404  4.773    0  0.000  0.545     0.00     0.00 -1 -1.59e-14      0.00 7.510e-01 2.489e-01 2.940e-05 7.932e-06 7.194e-05 -1.000 1.636e-04 6.275 7.429 6.691 6.235 6.088 6.038 6.027
0.00015542 7.699 0.6999999881 2.3779268265    0.700 -0.478  3.7584  4.747    0  0.000  0.545     0.00     0.00 -1 -2.12e-14      0.00 7.510e-01 2.488e-01 2.939e-05 7.930e-06 7.192e-05 -1.000 1.636e-04 5.965 6.975 6.329 5.940 5.821 5.788 5.785
0.00015542 7.699 0.7500000000 2.3998889923    0.750 -0.335  3.7794  4.718    0  0.000  0.538     0.00     0.00 -1 -2.94e-14      0.00 7.512e-01 2.487e-01 2.899e-05 7.917e-06 7.191e-05 -1.000 1.636e-04 5.608 6.483 5.921 5.603 5.516 5.503 5.509
0.00015542 7.699 0.7755635381 2.4098680019    0.776 -0.267  3.7880  4.699    0  0.000  0.538     0.00     0.00 -1 -3.45e-14      0.00 7.513e-01 2.486e-01 2.899e-05 7.914e-06 7.188e-05 -1.000 1.636e-04 5.438 6.272 5.733 5.442 5.367 5.363 5.372
0.00015542 7.699 0.8000000119 2.4187245369    0.800 -0.205  3.7961  4.682    0  0.000  0.538     0.00     0.00 -1    -4e-14      0.00 7.514e-01 2.485e-01 2.897e-05 7.911e-06 7.186e-05 -1.000 1.636e-04 5.282 6.081 5.561 5.295 5.232 5.236 5.248
0.00015542 7.699 0.8500000238 2.4350347519    0.850 -0.083  3.8118  4.650    0  0.000  0.538     0.00     0.00 -1 -5.33e-14      0.00 7.514e-01 2.484e-01 2.898e-05 7.912e-06 7.187e-05 -1.000 1.636e-04 4.978 5.723 5.226 5.006 4.966 4.985 5.003
0.00015542 7.699 0.8999999762 2.4492788315    0.900  0.032  3.8269  4.620    0  0.000  0.538     0.00     0.00 -1 -6.99e-14      0.00 7.514e-01 2.484e-01 2.897e-05 7.911e-06 7.186e-05 -1.000 1.636e-04 4.691 5.392 4.908 4.733 4.716 4.750 4.772
0.00015542 7.699 0.9499999285 2.4618122578    0.950  0.141  3.8420  4.595    0  0.000  0.538     0.00     0.00 -1 -9.02e-14      0.00 7.514e-01 2.484e-01 2.897e-05 7.911e-06 7.186e-05 -1.000 1.636e-04 4.417 5.084 4.602 4.472 4.479 4.528 4.554
0.00015542 7.699 1.0000000000 2.4729156494    1.000  0.242  3.8573  4.577    0  0.000  0.538     0.00     0.00 -1 -1.13e-13      0.00 7.515e-01 2.484e-01 2.897e-05 7.910e-06 7.185e-05 -1.000 1.613e-04 4.164 4.801 4.316 4.232 4.263 4.326 4.355
0.00015542 7.699 1.0499999523 2.4828116894    1.050  0.338  3.8736  4.567    0  0.000  0.538     0.00     0.00 -1 -1.29e-13      0.00 7.515e-01 2.483e-01 2.896e-05 7.909e-06 7.184e-05 -1.000 1.524e-04 3.924 4.535 4.042 4.007 4.065 4.143 4.175
0.00015542 7.699 1.1000000238 2.4916803837    1.100  0.426  3.8917  4.572    0  0.000  0.538     0.00     0.00 -1 -1.42e-13      0.00 7.515e-01 2.483e-01 2.896e-05 7.908e-06 7.183e-05 -1.000 1.637e-04 3.704 4.291 3.786 3.805 3.895 3.987 4.022
0.00015542 7.699 1.1499999762 2.4996678829    1.150  0.511  3.9107  4.582    0  0.000  0.538     0.00     0.00 -1 -1.53e-13      0.00 7.516e-01 2.482e-01 2.896e-05 7.907e-06 7.182e-05 -1.000 1.636e-04 3.492 4.062 3.544 3.621 3.744 3.849 3.885
0.00015542 7.699 1.2000000477 2.5068950653    1.200  0.590  3.9285  4.593    0  0.000  0.538     0.00     0.00 -1 -1.62e-13      0.00 7.516e-01 2.482e-01 2.895e-05 7.907e-06 7.182e-05 -1.000 1.636e-04 3.294 3.857 3.332 3.463 3.614 3.730 3.767
